"Beast","Lefou","Beauty and the Beast",1991
"Louis","Eric","The Little Mermaid",1989
"Doc","Huntsman","Snow White and the Seven Dwarfs",1937
"Giselle","Robert","Enchanted",2007
"Rapunzel","Flynn","Tangled",2010
"Tiana","Naveen","The Princess and the Frog",2009
"Aurora","Phillip","Sleeping Beauty",1959
"Mulan","Mulan","Mulan",1998
"Cinderella","Lady","Cinderella",1950
"Cinderella","Jack","Into the Woods",2014
"Anna","Elsa","Frozen",2013
"Cinderella","Cinderella's","Cinderella",1997
"Pocahontas","Pocahontas","Pocahontas",1995
"Clarisse","Mia","The Princess Diaries",2001
"Cinderella","Charming","Cinderella III: A Twist in Time",2007
"Aggravain","Winnifred","Once Upon a Mattress",2005
"Sultan","Razoul","Aladdin and the King of Thieves",1996
"Ariel","Sebastian","The Little Mermaid 2: Return to the Sea",2000
"Abis","Jafar","The Return of Jafar",1994
"Ariel","Sebastian","The Little Mermaid: Ariel's Beginning",2008
"Mulan","Shang","Mulan II",2004
"Cinderella","Jaq","Cinderella II: Dreams Come True",2002
"Mia","Clarisse","The Princess Diaries 2: Royal Engagement",2004
"Pocahontas","King","Pocahontas II: Journey to a New World",1998
"Maleficent","Aurora","Maleficent",2014
"Merida","Fergus","Brave",2012
"Belle","Beast","Beauty and the Beast: The Enchanted Christmas",1997
"Crane","Beast","Belle's Magical World",1998
